Context_Length,Baseline_Weights_GB,Baseline_KV_GB,Baseline_Total_VRAM_GB,Baseline_Status,RunuX_Weights_GB,RunuX_KV_GB,RunuX_Total_VRAM_GB,RunuX_Headroom_GB,RunuX_Util_Pct,RunuX_Status,KV_Compression_Ratio
512,14.0,0.062,14.062,OK,4.07,0.013,4.083,10.477,28.0,OK (Headroom),4.92
1024,14.0,0.125,14.125,OK,4.07,0.025,4.095,10.465,28.1,OK (Headroom),4.92
2048,14.0,0.25,14.25,OK,4.07,0.051,4.121,10.439,28.3,OK (Headroom),4.92
4096,14.0,0.5,14.5,OK,4.07,0.102,4.172,10.388,28.7,OK (Headroom),4.92
8192,14.0,1.0,15.0,CUDA OOM (FAIL),4.07,0.203,4.273,10.287,29.3,OK (Headroom),4.92
16384,14.0,2.0,16.0,CUDA OOM (FAIL),4.07,0.406,4.476,10.084,30.7,OK (Headroom),4.92
32768,14.0,4.0,18.0,CUDA OOM (FAIL),4.07,0.812,4.883,9.678,33.5,OK (Headroom),4.92
